PROGRAM		program
VAR		var
INVALID TOKEN: SMALLERasHI
AS		as
INT		int
SC		;
VAR		var
INVALID TOKEN: 1BIGGER
AS		as
INT		int
SC		;
VAR		var
INVALID TOKEN: aTEMP
AS		as
INT		int
INVALID TOKEN: ;;
BEGIN		begin
ident		BIGGER
ASGN		:=
READINT		readInt
SC		;
ident		SMALLER
ASGN		:=
READINT		readInt
SC		;
IF		if
ident		SMALLER
OP4		>
ident		BIGGER
THEN		then
ident		TEMP
ASGN		:=
ident		SMALLER
SC		;
ident		TEMP1
ASGN		:=
num		2147483648
SC		;
ident		SMALLER
ASGN		:=
ident		BIGGER
SC		;
ident		BIGGER
ASGN		:=
ident		TEMP
SC		;
END		end
SC		;
WHILE		while
ident		SMALLER
OP4		>
num		0
DO		do
ident		BIGGER
ASGN		:=
ident		BIGGER
OP3		-
ident		SMALLER
SC		;
IF		if
ident		SMALLER
OP4		>
ident		BIGGER
THEN		then
ident		TEMP
ASGN		:=
ident		SMALLER
SC		;
ident		SMALLER
ASGN		:=
ident		BIGGER
SC		;
ident		BIGGER
ASGN		:=
ident		TEMP
SC		;
END		end
SC		;
END		end
SC		;
WRITEINT		writeInt
ident		BIGGER
SC		;
END		end
